SMK 45 SKA;smkkeperawatan45@gmail.com;
SMK KRISTEN 1 SKA;smkkristen1solo@yahoo.com;
SMK KRISTEN SMSK SKA;SMKKristenSurakarta@gmail.com;
SMK WARGA SKA;operatorsmkwarga@gmail.com;
SMP ADVENT SKA;sekolahadvent.surakarta@gmail.com;
SMP DHARMA PANCASILA SKA;dharmapancasila@yahoo.co.id;
SMP KRISTEN 3 SKA;smpkristen3@gmail.com;
SMP MODERN ISLAMIC SCHOOL;smpmisska@gmail.com;
SMP MUH 7 SKA;smpmuh7ska@gmail.com;
SMP 13 SKA;smp_negeri13_surakarta@yahoo.co.id;
SMP 14 SKA;smpn14_solo@yahoo.com;
SMP 16 SKA;smp16ska@yahoo.co.id;
SMP 20 SKA;smpn20solo@gmail.com;
SMP 21 SKA;smpn21solo@gmail.com;
SMP 26 SKA;smpnemlikursolo@gmail.com;
SMP 5 SKA;smp5solo@gmail.com;
SMP 8 SKA;smpn8ska@yahoo.co.id;
SMP WARGA SKA;smpwargasolo@yahoo.co.id;
SMA 1 SKA;SURAT@SMAN1-SLO.SCH.ID;
SMA 1 SKA;smada@sman2solo.sch.id;
SMA 4 SKA;mail@smaracatur.sch.id;
SMA 5 SKA;sma5ska@yahoo.com;
SMA 6 SKA;info@sman6surakarta.sch.id;
SMA KRISTEN 2 SKA;sma_kristen_dua@yahoo.com;
SMA MUH 2 SKA;smamuh2ska@gmail.com;
SMA MUH 6 SKA;smamuh6ska@gmail.com;
SMA 17 SKA;tujuhbelas_sma@yahoo.co.id;
SMA YOSODIPURO;sma_yosodipurosolo@yahoo.com;
SMK MANDALA BHAKTI;smkkmandalabhakti@gmail.com;
SMKN 2 SOLO;info@smkn2solo.sch.id;
SMK 9 SKA;info@smkn9-solo.sch.id;
SMK BK SKA;smkbksolo@yahoo.co.id;
SMK BINA MANDIRI INDONESIA;smk_bimaska@yahoo.co.id;
SMK IT SMART INFORMATIKA;smk@smkitsi.sch.id;
SMK KANISIUS SKA;smkkanslo@yahoo.com;
SMK KRISTEN 2 SKA;smk2kr_solo@yahoo.co.id;
SMK KRISTEN MARGOYUDAN;smkkristenmgy@yahoo.co.id;
SMK MARSUDIRINI MARGANINGSIH;marsudirini_smksolo@yahoo.com;
SMK MUH 2 SKA;smkmuhduaska@ymail.com;
SMK MUH 3 SKA;smkmuh3ska@yahoo.co.id;
SMK MUH 5 SKA;smkmuh5ska@yahoo.co.id;
SMK PGRI 1 SKA;smkpgri1_slo@yahoo.co.id;
SMK PGRI 2 SKA;smkpgri2solo@gmail.com;
SMK PURNAMA SKA;smkpu12n4ma@yahoo.com;
SMK SAHID SKA;smksahid@yahoo.co.id;
SMK TEKNO SA SKA;info@smkteknosa.sch.id;
SMK TUNAS PEMBANGUNAN 2 SKA;smktp2ska@yahoo.com;
SMK TUNAS PEMBANGUNAN 3 SKA;smktp3ska@yahoo.com;
SMK WIJAYA KUSUMA SKA;wkusumaska@gmail.com;
SMP AL AZHAR SYIFA BUDI SKA;admin@smpasbsolo.sch.id;
SMP BUDI UTOMO;smp.bu.ska@gmail.com;
SMP FOCUS INDEPENDENT SCHOOL;fis@fis.sch.id;
SMP KRISTEN 1 SKA;smpkristen1ska@gmail.com;
SMP LAZUARDI KAMILA SKA;smp.lazkam@gmail.com;
SMP MUH 2 SKA;smpmuh2ska1@gmail.com;
SMP MUH 4 SKA;smpmuh4ska@gmail.com;
SMP 10 SKA;spedoska@gmail.com;
SMP 17 SKA;smpnegeri17ska@gmail.com;
SMP 18 SKA;smpdelaska@gmail.com;
SMP 23 SKA;smpn23ska@yahoo.co.id;
SMP 4 SKA;info@smpn4solo.sch.id;
SMP 7 SKA;smpntujuhska@yahoo.com;
SMP PGRI 1;smppgri1surakarta@gmail.com;
SMP BINTANG LAUT;smpplbl@gmail.com;
SMP PURNAMA 2 SKA;smppurnama02@gmail.com;
SMP YOSODIPURO;hasan_efendi29@yahoo.com;
SMPIT NUR HIDAYAH SKA;smpitnhsurakarta@gmail.com;
SMTK INTHEOS SKA;smtk@sttintheos.ac.id;
