Dinas Perindustrian dan Perdagangan  Kabupaten Sleman;perindag@slemankab.go.id
Badan Kepegawaian, Pendidikan dan Pelatihan  Kabupaten Sleman;bkpp@slemankab.go.id
Dinas Perpustakaan dan Kearsipan  Kabupaten Sleman;pusarsip@slemankab.go.id
Dinas Kebudayaan  Kabupaten Sleman;kebudayaan@slemankab.go.id
Badan Perencanaan Pembangunan Daerah  Kabupaten Sleman;bappeda@slemankab.go.id
Badan Keuangan dan Aset Daerah  Kabupaten Sleman;bkad@slemankab.go.id
Badan Kesatuan Bangsa dan Politik  Kabupaten Sleman;bakesbangpol@slemankab.go.id
Badan Penanggulangan Bencana Daerah  Kabupaten Sleman;bpbd@slemankab.go.id
Kecamatan Gamping  Kabupaten Sleman;kecgamping@slemankab.go.id
Kecamatan Godean  Kabupaten Sleman;kecgodean@slemankab.go.id
Kecamatan Moyudan  Kabupaten Sleman;kecmoyudan@slemankab.go.id
Kecamatan Minggir  Kabupaten Sleman;kecminggir@slemankab.go.id
Kecamatan Seyegan  Kabupaten Sleman;kecseyegan@slemankab.go.id
Kecamatan Mlati  Kabupaten Sleman;kecmlati@slemankab.go.id
Kecamatan Depok  Kabupaten Sleman;kecdepok@slemankab.go.id
Kecamatan Berbah  Kabupaten Sleman;kecberbah@slemankab.go.id
Kecamatan Prambanan  Kabupaten Sleman;kecprambanan@slemankab.go.id
Kecamatan Kalasan  Kabupaten Sleman;keckalasan@slemankab.go.id
Kecamatan Ngemplak  Kabupaten Sleman;kecngemplak@slemankab.go.id
Kecamatan Ngaglik  Kabupaten Sleman;kecngaglik@slemankab.go.id
Kecamatan Sleman  Kabupaten Sleman;kecsleman@slemankab.go.id
 Kecamatan Tempel  Kabupaten Sleman;kectempel@slemankab.go.id
Kecamatan Turi Kabupaten Sleman;kecturi@slemankab.go.id
Dispora Provinsi Banten;"ppid.dispora@bantenprov.go.id;Sekretariat.dispora@bantenprov.go.id"
Disporapar Provinsi Jawa Timur;dispora@jatimprov.go.id
Dinas Pendidikan Kabupaten Sidoarjo;"pendidikan@sidoarjokab.go.id;dispendikkabsidoarjo@gmail.com"
Dinas Pariwisata, Kebudayaan, Pemuda & Olah Raga Kabupaten Blitar;disparbudpora@blitarkab.go.id
Dinas Pariwisata, Kebudayaan, Pemuda & Olah Raga Kabupaten Cianjur;disparpora@cianjurkab.go.id
DINAS PEMBERDAYAAN PEREMPUAN PERLINDUNGAN ANAK KEPENDUDUKAN DAN KB Serang;info@mail.serangkota.go.id
SEKRETARIAT  DAERAH Pemerintah Daerah Kota Bekasi;setda@bekasikota.go.id
SEKRETARIAT DAERAH KABUPATEN BLITAR;kabupaten.blitar@blitarkab.go.id 
PEJABAT PENGELOLA INFORMASI DAN DOKMENTASI KABUPATEN BLITAR;ppid@blitarkab.go.id
DINAS KOMUNIKASI DAN INFORMATIKA KABUPATEN BLITAR;kominfo@blitarkab.go.id
Dinas Pendidikan Pemuda dan Olahraga Kulon Progo;pendidikan@kulonprogokab.go.id
Pemerintah Daerah Kabupaten Kulon Progo;pemkab@kulonprogokab.go.id 
Badan Perencanaan Pembangunan Daerah;bappeda@kulonprogokab.go.id
Badan Penanggulangan Bencana Daerah;bpbd@kulonprogokab.go.id
Badan Keuangan dan Aset Daerah;bkad@kulonprogokab.go.id
Dinas Dikpora Kabupaten Kulon Progo;pendidikan@kulonprogokab.go.id
Badan Kepegawaian Kota Blitar;bkdkotablitar@gmail.com
Kominfo Kabupaten Blitar;kominfo@blitarkab.go.id
Pemerintah Daerah Kota Sukabumi;info@sukabumikota.go.id
Pemerintah Daerah Kota Sukabumi 2;contact@sukabumikab.go.id
DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL Kota Sukabumi;pelayanan@dukcapilkabsukabumi.org
Badan Keuangan dan Aset Daerah Kabupaten Malang;bkad@malangkab.go.id
DINAS KOMUNIKASI DAN INFORMATIKA KABUPATEN Kendal;diskominfo@kendalkab.go.id
Dinas Pendidikan dan Kebudayaan Kabupaten Kendal;disdikbud@kendalkab.go.id
dinas pemuda dan olahraga kabupaten majalengka;dispora@majalengkakab.go.id
DINAS PENDIDIKAN DAN KEBUDAYAAN kabupaten subang;info@disdik.subang.go.id
Dinas Perhubungan Kabupaten Kendal;dishub@kendalkab.go.id
BAPPEDA PROV. JATENG;bappeda@jatengprov.go.id
Badan Pengelola Pendapatan Daerah Provinsi Jawa Tengah;pic.sakpole@gmail.com
Inspektorat Provinsi Jawa Tengah;inspektorat@jatengprov.go.id
Badan Kepegawaian Daerah Jawa Tengah;bkd@jatengprov.go.id
 Badan Pengelola Keuangan dan Aset Daerah Jawa Tengah;bpkad@jatengprov.go.id
Disnaker Provinsi Jawa Tengah;disnakertrans@jatengprov.go.id
Disporapar Provinsi Jawa Tengah;disporapar@jatengprov.go.id
